If	Then	Confidence
B016C9GLBY	B008DD5114	0.67
B07CM33RK6	B00W9DYBDS	1.00
B00MDU0XCA	B00BZ5S9TI	0.75
B00WO3ML6C	B00OQ7R9DE	1.00
B002KJ3A74	B003QHZDW4	0.67
B015LYRCFK	B0030552C8	1.00
B06XRSGM2R	B003E8ZORY	1.00
B005TS13Y0	B009A882D0	1.00
B00T6JFPBK	B01C7YZN1C	1.00
B00YS65KTS	B07CRWD727	0.67
B000H3NRPK	B01LQP6VTG	0.50
B00NVKOEV2	B00TDNNUMK	0.67
B01C8MOSSC	B07CKZVG19	1.00
B06XRSGM2R	B01FQUHACY	0.67
B00IMSWSZ2	B00IP8Q9KE	1.00
B00318CBS2	B07D1TRJ94	1.00
B01I5QJDZ8	B003A7PB5Y	1.00
B00MDU0XCA	B015GPJF2C	0.75
B00WO3ML6C	B013Y79ZJ2	1.00
B076QJBZ9B	B002UDUPP0	1.00
B00BG34FKG	B07LBZVCQT	0.50
B004661X8W	B07B7L8C6K	1.00
B07LBZVCQT	B00BG34G3C	1.00
B008DD510A	B01H5RFYT2	1.00
B00BMDAEHS	B002N3CE0Q	1.00
B00FB3JHVO	B075VFSLF2	1.00
B07CM33RK6	B01LF76SJS	1.00
B07LBZVCQT	B00001TOXD	1.00
B00KX22PBC	B005TS13Y0	1.00
B0089B1YSE	B01C8MOSSC	1.00
B00T6JFPBK	B01FQUHACY	1.00
B002B57MA8	B00236ZCMK	1.00
B00236ZCMK	B07BR6RMYS	0.60
B00MDU0X7A	B000WNL1G2	1.00
B002UDUPP0	B00IMSWSZ2	0.50
B000H3NRPK	B003QHZDW4	0.50
B001E2R2M2	B07BR6RMYS	0.50
B008DD51O6	B01I5QJDZ8	0.67
B0041GWHEG	B01NC0E9X4	1.00
B07C54FVYJ	B00BJH4NWO	1.00
B00GN3KC6U	B07JKZR4BP	1.00
B075VFSLF2	B00JMBDTWO	0.67
B003A8H7NW	B00JMBDN8O	1.00
B06WW5SZLV	B016C9GLBY	1.00
B00KX22PBC	B013O1T4NA	1.00
B00BJH25Y2	B000H3NRPK	1.00
B07CKZVG19	B01BVF5CN2	1.00
B00IMSX0QS	B0009S6TJY	1.00
B00BJH4NXS	B000H3T5HO	1.00
B00KQF4VZY	B00JMBDN8O	1.00
B00IP8Q9KE	B00BJH4NWO	0.67
B07BSV262S	B00XK4XML2	0.67
B003QHZDW4	B00LCVVDOI	0.67
B076QJBZ9B	B00BZ5S9QG	1.00
B00WFAGA7A	B00GN3KC6U	1.00
B01FQUHACY	B003IC4W6A	1.00
B00BJH25Y2	B00236ZCMK	1.00
B01NC0KC30	B00J9C5US2	1.00
B0006GK6YS	B00ZPFA8T8	1.00
B07C5F6YDF	B07BT98MVN	1.00
B0084Z6WUK	B07DC8BR3B	1.00
B00BJH4NWO	B00IP8Q9KE	1.00
B07FXN39TM	B00BG34G3C	1.00
B000PLTLNG	B00R9X97YG	0.67
B000A0UO0G	B00BJH3JT2	0.50
B07C5F6YDF	B007P28FN0	1.00
B008DD510A	B00OQ7R9DE	1.00
B002KJ3A74	B00IP8Q9KE	0.67
B00KX22PBC	B00W9DYBDS	1.00
B01ENRXHLO	B07J4VF2C8	1.00
B019NGYG2E	B001E2R2M2	1.00
B00P2D5U7I	B01LX9T2O1	1.00
B013Y79ZJ2	B07C27N7WM	0.67
B07C5F6YDF	B007KFQ3E0	1.00
B00P2D5U7I	B001RNO30W	1.00
B003E8ZORY	B07C27N7WM	0.67
B016C9GLBY	B01FI68VQA	0.67
B074MN5RRD	B008DD5114	1.00
B00IP8Q9KE	B003ITL74S	0.67
B01NAZENBS	B01BVF5CN2	1.00
B07CM33RK6	B00318CBS2	1.00
B06WW5SZLV	B07C27N7WM	0.67
B01KU4LRW0	B00T6J4IQI	0.67
B003E8ZORY	B01KBF01FM	0.67
B015GPJF2C	B00MDU0XCA	1.00
B008DD510A	B013Y79ZJ2	1.00
B01N2OZV41	B011W56OXS	1.00
B003A7PB5Y	B01ENRXHLO	0.67
B001SES07C	B00P2D5U7I	1.00
B01LQP6VTG	B07C9RTFWS	0.67
B00YD39QS2	B07B7L8C6K	1.00
B07JHBBGQ9	B07B7L8C6K	1.00
B00MDU0XCA	B00BJH4NWO	0.50
B003A7PB5Y	B01KU4LRW0	1.00
B00JMBDN8O	B000PLTLNG	1.00
B016C9GLBY	B01C7YZN1C	0.67
B07JKZR4BP	B07C9RTFWS	0.50
B07CKZVG19	B00J4JWL4G	1.00
B07J4VF2C8	B01ENRXHLO	1.00
B07KGHTC97	B00BG34FKG	1.00
B00BZ5S9QG	B00BG34G3C	1.00
B07KGHWV65	B003ITL74S	1.00
B07C5F6YDF	B00W9DYAIY	1.00
B011W56OXS	B00YS65KTS	1.00
B00JMBDTWO	B000H3VFLS	1.00
B003A7PB5Y	B01IVEI1WA	0.67
B00BMDAEHS	B00BZ5S9QG	0.67
B01C375RCI	B001E2R2M2	1.00
B00WFAGA7A	B07JKZR4BP	1.00
B00T6JFPBK	B016C9GLBY	1.00
B016C9GLBY	B003E8ZORY	1.00
B01IVEI1WA	B01ENRXHLO	1.00
B00IMSWSZ2	B00001TOXD	1.00
B012S37HQ6	B07D1TRJ94	1.00
B07J4VF2C8	B01IVEI1WA	1.00
B016C9GLBY	B01FQUHACY	0.67
B07BR6RMYS	B07JKZR4BP	0.75
B01FQUHACY	B06XRSGM2R	1.00
B01M3R75G6	B07BRDZVK2	1.00
B01D10RT22	B00P2D5U7I	1.00
B074QMGVML	B00LCVVDOI	1.00
B00MDU0XCA	B003ITL74S	0.50
B07CRWD727	B00YS65KTS	1.00
B007FPQ3SQ	B0009S6TJY	1.00
B07C9RTFWS	B00BZ5S9TI	0.67
B003A7PB5Y	B003E8ZORY	1.00
B076BQDH8N	B00CXOLAWI	1.00
B076QJBZ9B	B00MDU0XCA	1.00
B00KQF64EU	B00JMBDN8O	1.00
B008DD510A	B01N2OZV41	0.67
B000YPMJF0	B00001TOXD	1.00
B01LX9T2O1	B00KX22PBC	1.00
B00BMDAEHS	B019NGYG2E	0.67
B00BZ5S9QG	B00BZ5PE64	0.67
B01NAZENBS	B00J4JWL4G	1.00
B00BZ5PE64	B001E2R2M2	1.00
B01LX9T2O1	B001RNO30W	1.00
B003AIKE6E	B07BT98MVN	1.00
B007KFQ3E0	B004GGU9QY	1.00
B00OQ7R9DE	B01KU4LRW0	1.00
B07C5F6YDF	B005TS13Y0	1.00
B07BR6RMYS	B07BP31RLV	0.50
B00J9C5US2	B074N78SXG	1.00
B00IMSX0QS	B007FPQ3SQ	1.00
B00BIGBAEK	B015LYRCFK	1.00
B00ZPFA8T8	B00IYP3E9W	1.00
B008DD51O6	B00F8JH15U	0.67
B01KU4LRW0	B011W56OXS	1.00
B07LBZVCQT	B0042ZG2K6	0.67
B004AI3XUM	B000H3VFLS	1.00
B00WFAGA7A	B01LQP6VTG	1.00
B00BZ5PE64	B00BJH25Y2	1.00
B00T6JFPBK	B01FR8IDFI	1.00
B00JMBDN8O	B004AI3XUM	0.67
B016C9GLBY	B01FR8IDFI	1.00
B002UDUPP0	B00236ZCMK	0.83
B00IMSWSZ2	B00MDU0XCA	1.00
B00KX22PBC	B00318CBS2	1.00
B015GPJF2C	B01KWX8NU8	1.00
B074MN5RRD	B01FI68VQA	1.00
B07C5F6YDF	B013O1T4NA	1.00
B002N3CE0Q	B00IP8Q9KE	0.67
B005TS13Y0	B07BT98MVN	1.00
B01FI68VQA	B06WW5SZLV	1.00
B000H3T5HO	B00001TOXD	0.86
B076QJBZ9B	B001E2R2M2	1.00
B002B57MA8	B07KGHWV65	0.67
B00OQ7R9DE	B003E8ZORY	1.00
B00BJH4NWO	B00001TOXD	1.00
B00J4JWL4G	B00IKCMPAS	0.67
B00LCVVDOI	B00BG34G3C	1.00
B01H5RFYT2	B011W56OXS	1.00
B003AIKE6E	B00W9DYAIY	1.00
B074MN5RRD	B01C7YZN1C	1.00
B0009S6TJY	B007FPQ3TU	1.00
B013Y79ZJ2	B008DD510A	1.00
